year,county,sex,race,deaths
2010,UNKNOWN,Male,White,0.0
2010,UNKNOWN,Male,Black or African American,0.0
2010,UNKNOWN,Male,American Indian or Alaska Native,0.0
2010,UNKNOWN,Male,Asian,0.0
2010,UNKNOWN,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,UNKNOWN,Male,Other,0.0
2010,UNKNOWN,Male,Unknown,0.0
2010,UNKNOWN,Male,More than one race,0.0
2010,Adair,Male,White,7.0
2010,Adair,Male,Black or African American,0.0
2010,Adair,Male,American Indian or Alaska Native,12.0
2010,Adair,Male,Asian,0.0
2010,Adair,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Adair,Male,Other,0.0
2010,Adair,Male,Unknown,0.0
2010,Adair,Male,More than one race,0.0
2010,Alfalfa,Male,White,5.0
2010,Alfalfa,Male,Black or African American,0.0
2010,Alfalfa,Male,American Indian or Alaska Native,0.0
2010,Alfalfa,Male,Asian,0.0
2010,Alfalfa,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Alfalfa,Male,Other,0.0
2010,Alfalfa,Male,Unknown,0.0
2010,Alfalfa,Male,More than one race,0.0
2010,Atoka,Male,White,5.0
2010,Atoka,Male,Black or African American,0.0
2010,Atoka,Male,American Indian or Alaska Native,0.0
2010,Atoka,Male,Asian,0.0
2010,Atoka,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Atoka,Male,Other,0.0
2010,Atoka,Male,Unknown,0.0
2010,Atoka,Male,More than one race,0.0
2010,Beaver,Male,White,0.0
2010,Beaver,Male,Black or African American,0.0
2010,Beaver,Male,American Indian or Alaska Native,0.0
2010,Beaver,Male,Asian,0.0
2010,Beaver,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Beaver,Male,Other,0.0
2010,Beaver,Male,Unknown,0.0
2010,Beaver,Male,More than one race,0.0
2010,Beckham,Male,White,15.0
2010,Beckham,Male,Black or African American,0.0
2010,Beckham,Male,American Indian or Alaska Native,0.0
2010,Beckham,Male,Asian,0.0
2010,Beckham,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Beckham,Male,Other,0.0
2010,Beckham,Male,Unknown,0.0
2010,Beckham,Male,More than one race,0.0
2010,Blaine,Male,White,5.0
2010,Blaine,Male,Black or African American,0.0
2010,Blaine,Male,American Indian or Alaska Native,0.0
2010,Blaine,Male,Asian,0.0
2010,Blaine,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Blaine,Male,Other,0.0
2010,Blaine,Male,Unknown,0.0
2010,Blaine,Male,More than one race,0.0
2010,Bryan,Male,White,17.0
2010,Bryan,Male,Black or African American,0.0
2010,Bryan,Male,American Indian or Alaska Native,0.0
2010,Bryan,Male,Asian,0.0
2010,Bryan,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Bryan,Male,Other,0.0
2010,Bryan,Male,Unknown,0.0
2010,Bryan,Male,More than one race,0.0
2010,Caddo,Male,White,10.0
2010,Caddo,Male,Black or African American,0.0
2010,Caddo,Male,American Indian or Alaska Native,5.0
2010,Caddo,Male,Asian,0.0
2010,Caddo,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Caddo,Male,Other,0.0
2010,Caddo,Male,Unknown,0.0
2010,Caddo,Male,More than one race,0.0
2010,Canadian,Male,White,46.0
2010,Canadian,Male,Black or African American,0.0
2010,Canadian,Male,American Indian or Alaska Native,6.0
2010,Canadian,Male,Asian,0.0
2010,Canadian,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Canadian,Male,Other,0.0
2010,Canadian,Male,Unknown,0.0
2010,Canadian,Male,More than one race,0.0
2010,Carter,Male,White,30.0
2010,Carter,Male,Black or African American,0.0
2010,Carter,Male,American Indian or Alaska Native,7.0
2010,Carter,Male,Asian,0.0
2010,Carter,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Carter,Male,Other,0.0
2010,Carter,Male,Unknown,0.0
2010,Carter,Male,More than one race,0.0
2010,Cherokee,Male,White,12.0
2010,Cherokee,Male,Black or African American,0.0
2010,Cherokee,Male,American Indian or Alaska Native,13.0
2010,Cherokee,Male,Asian,0.0
2010,Cherokee,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Cherokee,Male,Other,0.0
2010,Cherokee,Male,Unknown,0.0
2010,Cherokee,Male,More than one race,0.0
2010,Choctaw,Male,White,5.0
2010,Choctaw,Male,Black or African American,0.0
2010,Choctaw,Male,American Indian or Alaska Native,0.0
2010,Choctaw,Male,Asian,0.0
2010,Choctaw,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Choctaw,Male,Other,0.0
2010,Choctaw,Male,Unknown,0.0
2010,Choctaw,Male,More than one race,0.0
2010,Cimarron,Male,White,0.0
2010,Cimarron,Male,Black or African American,0.0
2010,Cimarron,Male,American Indian or Alaska Native,0.0
2010,Cimarron,Male,Asian,0.0
2010,Cimarron,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Cimarron,Male,Other,0.0
2010,Cimarron,Male,Unknown,0.0
2010,Cimarron,Male,More than one race,0.0
2010,Cleveland,Male,White,76.0
2010,Cleveland,Male,Black or African American,10.0
2010,Cleveland,Male,American Indian or Alaska Native,0.0
2010,Cleveland,Male,Asian,0.0
2010,Cleveland,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Cleveland,Male,Other,0.0
2010,Cleveland,Male,Unknown,0.0
2010,Cleveland,Male,More than one race,0.0
2010,Coal,Male,White,0.0
2010,Coal,Male,Black or African American,0.0
2010,Coal,Male,American Indian or Alaska Native,0.0
2010,Coal,Male,Asian,0.0
2010,Coal,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Coal,Male,Other,0.0
2010,Coal,Male,Unknown,0.0
2010,Coal,Male,More than one race,0.0
2010,Comanche,Male,White,24.0
2010,Comanche,Male,Black or African American,11.0
2010,Comanche,Male,American Indian or Alaska Native,6.0
2010,Comanche,Male,Asian,0.0
2010,Comanche,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Comanche,Male,Other,0.0
2010,Comanche,Male,Unknown,0.0
2010,Comanche,Male,More than one race,0.0
2010,Cotton,Male,White,0.0
2010,Cotton,Male,Black or African American,0.0
2010,Cotton,Male,American Indian or Alaska Native,0.0
2010,Cotton,Male,Asian,0.0
2010,Cotton,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Cotton,Male,Other,0.0
2010,Cotton,Male,Unknown,0.0
2010,Cotton,Male,More than one race,0.0
2010,Craig,Male,White,6.0
2010,Craig,Male,Black or African American,0.0
2010,Craig,Male,American Indian or Alaska Native,0.0
2010,Craig,Male,Asian,0.0
2010,Craig,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Craig,Male,Other,0.0
2010,Craig,Male,Unknown,0.0
2010,Craig,Male,More than one race,0.0
2010,Creek,Male,White,44.0
2010,Creek,Male,Black or African American,0.0
2010,Creek,Male,American Indian or Alaska Native,7.0
2010,Creek,Male,Asian,0.0
2010,Creek,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Creek,Male,Other,0.0
2010,Creek,Male,Unknown,0.0
2010,Creek,Male,More than one race,0.0
2010,Custer,Male,White,11.0
2010,Custer,Male,Black or African American,0.0
2010,Custer,Male,American Indian or Alaska Native,0.0
2010,Custer,Male,Asian,0.0
2010,Custer,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Custer,Male,Other,0.0
2010,Custer,Male,Unknown,0.0
2010,Custer,Male,More than one race,0.0
2010,Delaware,Male,White,13.0
2010,Delaware,Male,Black or African American,0.0
2010,Delaware,Male,American Indian or Alaska Native,0.0
2010,Delaware,Male,Asian,0.0
2010,Delaware,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Delaware,Male,Other,0.0
2010,Delaware,Male,Unknown,0.0
2010,Delaware,Male,More than one race,0.0
2010,Dewey,Male,White,0.0
2010,Dewey,Male,Black or African American,0.0
2010,Dewey,Male,American Indian or Alaska Native,0.0
2010,Dewey,Male,Asian,0.0
2010,Dewey,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Dewey,Male,Other,0.0
2010,Dewey,Male,Unknown,0.0
2010,Dewey,Male,More than one race,0.0
2010,Ellis,Male,White,0.0
2010,Ellis,Male,Black or African American,0.0
2010,Ellis,Male,American Indian or Alaska Native,0.0
2010,Ellis,Male,Asian,0.0
2010,Ellis,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Ellis,Male,Other,0.0
2010,Ellis,Male,Unknown,0.0
2010,Ellis,Male,More than one race,0.0
2010,Garfield,Male,White,28.0
2010,Garfield,Male,Black or African American,5.0
2010,Garfield,Male,American Indian or Alaska Native,0.0
2010,Garfield,Male,Asian,0.0
2010,Garfield,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Garfield,Male,Other,0.0
2010,Garfield,Male,Unknown,0.0
2010,Garfield,Male,More than one race,0.0
2010,Garvin,Male,White,15.0
2010,Garvin,Male,Black or African American,5.0
2010,Garvin,Male,American Indian or Alaska Native,0.0
2010,Garvin,Male,Asian,0.0
2010,Garvin,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Garvin,Male,Other,0.0
2010,Garvin,Male,Unknown,0.0
2010,Garvin,Male,More than one race,0.0
2010,Grady,Male,White,26.0
2010,Grady,Male,Black or African American,0.0
2010,Grady,Male,American Indian or Alaska Native,0.0
2010,Grady,Male,Asian,0.0
2010,Grady,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Grady,Male,Other,0.0
2010,Grady,Male,Unknown,0.0
2010,Grady,Male,More than one race,0.0
2010,Grant,Male,White,0.0
2010,Grant,Male,Black or African American,0.0
2010,Grant,Male,American Indian or Alaska Native,0.0
2010,Grant,Male,Asian,0.0
2010,Grant,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Grant,Male,Other,0.0
2010,Grant,Male,Unknown,0.0
2010,Grant,Male,More than one race,0.0
2010,Greer,Male,White,0.0
2010,Greer,Male,Black or African American,0.0
2010,Greer,Male,American Indian or Alaska Native,0.0
2010,Greer,Male,Asian,0.0
2010,Greer,Male,Native Hawaiian or Other Pacific Islander,0.0
2010,Greer,Male,Other,0.0
2010,Greer,Male,Unknown,0.0
2010,Greer,Male,More than one race,0.0
