Search Characteristic,Values Selected,
Year 2010,,
,Births,% State Births
Gestation Age,,
<32 weeks,911,1.7
32-36 weeks,5004,9.4
37-39 weeks,36502,68.9
40-41 weeks,10418,19.7
42+ weeks,150,0.3
Unknown,220,.
,,
Year 2011,,
,Births,% State Births
Gestation Age,,
<32 weeks,869,1.7
32-36 weeks,4764,9.1
37-39 weeks,35632,68.4
40-41 weeks,10697,20.5
42+ weeks,142,0.3
Unknown,148,.
,,
Year 2012,,
,Births,% State Births
Gestation Age,,
<32 weeks,856,1.6
32-36 weeks,4851,9.2
37-39 weeks,36109,68.7
40-41 weeks,10583,20.1
42+ weeks,146,0.3
Unknown,195,.
,,
Year 2013,,
,Births,% State Births
Gestation Age,,
<32 weeks,839,1.6
32-36 weeks,4786,9.0
37-39 weeks,36577,68.7
40-41 weeks,10939,20.5
42+ weeks,129,0.2
Unknown,81,.
,,
Year 2014,,
,Births,% State Births
Gestation Age,,
<32 weeks,883,1.7
32-36 weeks,4595,8.6
37-39 weeks,36489,68.6
40-41 weeks,11091,20.8
42+ weeks,139,0.3
Unknown,89,.
,,
Year 2015,,
,Births,% State Births
Gestation Age,,
<32 weeks,822,1.5
32-36 weeks,4663,8.8
37-39 weeks,36592,68.9
40-41 weeks,10862,20.5
42+ weeks,132,0.2
Unknown,61,.
,,
Year 2016,,
,Births,% State Births
Gestation Age,,
<32 weeks,802,1.5
32-36 weeks,4796,9.1
37-39 weeks,36416,69.3
40-41 weeks,10388,19.8
42+ weeks,144,0.3
Unknown,61,.
,,
Year 2017,,
,Births,% State Births
Gestation Age,,
<32 weeks,870,1.7
32-36 weeks,4712,9.4
37-39 weeks,34968,69.8
40-41 weeks,9484,18.9
42+ weeks,97,0.2
Unknown,83,.
,,
Year 2018,,
,Births,% State Births
Gestation Age,,
<32 weeks,822,1.7
32-36 weeks,4845,9.7
37-39 weeks,35364,71.1
40-41 weeks,8626,17.3
42+ weeks,92,0.2
Unknown,52,.
,,
Year 2019,,
,Births,% State Births
Gestation Age,,
<32 weeks,792,1.6
32-36 weeks,4857,9.9
37-39 weeks,35517,72.3
40-41 weeks,7873,16.0
42+ weeks,76,0.2
Unknown,28,.
,,
Year 2020,,
,Births,% State Births
Gestation Age,,
<32 weeks,716,1.5
32-36 weeks,4594,9.7
37-39 weeks,34779,73.2
40-41 weeks,7357,15.5
42+ weeks,95,0.2
Unknown,76,.
,,
Year 2021,,
,Births,% State Births
Gestation Age,,
<32 weeks,852,1.8
32-36 weeks,4914,10.2
37-39 weeks,35294,73.0
40-41 weeks,7201,14.9
42+ weeks,67,0.1
Unknown,84,.
,,
Year 2022,,
,Births,% State Births
Gestation Age,,
<32 weeks,796,1.7
32-36 weeks,4660,9.7
37-39 weeks,35015,72.6
40-41 weeks,7682,15.9
42+ weeks,83,0.2
Unknown,78,.
,,
Year 2023,,
,Births,% State Births
Gestation Age,,
<32 weeks,765,1.6
32-36 weeks,4512,9.4
37-39 weeks,34913,73.0
40-41 weeks,7546,15.8
42+ weeks,82,0.2
Unknown,77,.
,,
Year 2024,,
,Births,% State Births
Gestation Age,,
<32 weeks,754,1.6
32-36 weeks,4515,9.4
37-39 weeks,35031,73.2
40-41 weeks,7503,15.7
42+ weeks,79,0.2
Unknown,65,.
