Search Characteristic,Values Selected,,,
Year 2010,,,,
,,Births,Population,Birth Rate
County of Residence,Mother's Race,,,
UNKNOWN,White,18,.,.
,Black or African American,.,.,.
,American Indian or Alaska Native,.,.,.
,Unknown,.,.,.
Adair,White,63,10038,6.3
,Black or African American,.,69,.
,American Indian or Alaska Native,169,10210,16.6
,Asian,.,136,.
,Other,.,.,.
,Unknown,131,.,.
,More than one race,5,2306,2.2
Alfalfa,White,42,5101,8.2
,American Indian or Alaska Native,.,174,.
,Other,.,.,.
,More than one race,.,102,.
Atoka,White,123,10596,11.6
,Black or African American,7,521,13.4
,American Indian or Alaska Native,37,2030,18.2
,More than one race,.,1006,.
Beaver,White,63,5369,11.7
,Black or African American,.,45,.
,Other,.,.,.
Beckham,White,297,19749,15.0
,Black or African American,7,902,7.8
,American Indian or Alaska Native,13,682,19.1
,Asian,.,204,.
,Other,.,.,.
,More than one race,9,517,17.4
Blaine,White,106,8188,12.9
,Black or African American,.,310,.
,American Indian or Alaska Native,26,997,26.1
,Other,7,.,.
,Unknown,.,.,.
,More than one race,12,387,31.0
Bryan,White,450,33029,13.6
,Black or African American,9,678,13.3
,American Indian or Alaska Native,126,5665,22.2
,Asian,.,225,.
,Other,10,.,.
,More than one race,12,2970,4.0
Caddo,White,233,19446,12.0
,Black or African American,9,835,10.8
,American Indian or Alaska Native,170,7603,22.4
,Other,17,.,.
,More than one race,32,1736,18.4
Canadian,White,1272,99483,12.8
,Black or African American,33,3077,10.7
,American Indian or Alaska Native,96,5838,16.4
,Asian,46,3562,12.9
,Native Hawaiian or Other Pacific Islander,.,79,.
,Other,53,.,.
,More than one race,78,4321,18.1
Carter,White,429,36566,11.7
,Black or African American,46,3285,14.0
,American Indian or Alaska Native,72,4423,16.3
,Asian,8,526,15.2
,Other,25,.,.
,Unknown,.,.,.
,More than one race,51,2981,17.1
Cherokee,White,305,25608,11.9
,Black or African American,5,625,8.0
,American Indian or Alaska Native,274,16344,16.8
,Asian,.,299,.
,Native Hawaiian or Other Pacific Islander,.,19,.
,Other,.,.,.
,Unknown,5,.,.
,More than one race,27,4231,6.4
Choctaw,White,142,9983,14.2
,Black or African American,25,1671,15.0
,American Indian or Alaska Native,58,2557,22.7
,Other,.,.,.
,More than one race,.,977,.
Cimarron,White,35,2395,14.6
,Other,.,.,.
,More than one race,.,38,.
Cleveland,White,2360,209580,11.3
,Black or African American,141,11268,12.5
,American Indian or Alaska Native,125,12528,10.0
,Asian,97,10073,9.6
,Native Hawaiian or Other Pacific Islander,.,259,.
,Other,86,.,.
,Unknown,.,.,.
,More than one race,154,13386,11.5
Coal,White,48,4418,10.9
,American Indian or Alaska Native,15,1006,14.9
,Other,.,.,.
,More than one race,.,450,.
Comanche,White,1415,84202,16.8
,Black or African American,367,22443,16.4
,American Indian or Alaska Native,143,7770,18.4
,Asian,47,2940,16.0
,Native Hawaiian or Other Pacific Islander,22,762,28.9
,Other,57,.,.
,Unknown,.,.,.
,More than one race,84,7284,11.5
Cotton,White,58,5066,11.4
,Black or African American,.,140,.
,American Indian or Alaska Native,6,608,9.9
,More than one race,.,327,.
Craig,White,116,10105,11.5
,Black or African American,5,462,10.8
,American Indian or Alaska Native,44,3099,14.2
,Asian,.,98,.
,Other,.,.,.
,More than one race,16,1275,12.5
Creek,White,720,56631,12.7
,Black or African American,16,1567,10.2
,American Indian or Alaska Native,119,7201,16.5
,Asian,.,245,.
,Native Hawaiian or Other Pacific Islander,.,52,.
,Other,.,.,.
,More than one race,53,4547,11.7
Custer,White,303,23562,12.9
,Black or African American,15,870,17.2
,American Indian or Alaska Native,40,1883,21.2
,Asian,.,337,.
,Native Hawaiian or Other Pacific Islander,.,18,.
,Other,42,.,.
,More than one race,20,913,21.9
Delaware,White,159,28238,5.6
,Black or African American,.,102,.
,American Indian or Alaska Native,137,9442,14.5
,Asian,7,521,13.4
,Native Hawaiian or Other Pacific Islander,.,32,.
,Other,6,.,.
,Unknown,90,.,.
,More than one race,10,3229,3.1
Dewey,White,48,4324,11.1
,American Indian or Alaska Native,5,278,18.0
,Other,.,.,.
Ellis,White,43,4015,10.7
,Other,5,.,.
Garfield,White,699,53561,13.1
,Black or African American,15,1885,8.0
,American Indian or Alaska Native,24,1587,15.1
,Asian,8,642,12.5
,Native Hawaiian or Other Pacific Islander,75,1171,64.0
,Other,92,.,.
,Unknown,.,.,.
,More than one race,26,1925,13.5
Garvin,White,275,23192,11.9
,Black or African American,9,711,12.7
,American Indian or Alaska Native,47,2229,21.1
,Asian,.,120,.
,Other,16,.,.
,More than one race,17,1300,13.1
Grady,White,516,45743,11.3
,Black or African American,15,1294,11.6
,American Indian or Alaska Native,28,2968,9.4
,Asian,.,205,.
,Other,9,.,.
,More than one race,36,2188,16.5
Grant,White,47,4271,11.0
,American Indian or Alaska Native,.,100,.
,Unknown,.,.,.
Greer,White,60,5365,11.2
,Black or African American,.,447,.
,American Indian or Alaska Native,.,200,.
,Asian,.,16,.
Harmon,White,39,2532,15.4
,Black or African American,.,220,.
,American Indian or Alaska Native,.,49,.
,Asian,.,13,.
,Other,.,.,.
Harper,White,57,3584,15.9
,Other,.,.,.
Haskell,White,89,9682,9.2
,American Indian or Alaska Native,22,2060,10.7
,Asian,.,78,.
,Other,5,.,.
,Unknown,30,.,.
Hughes,White,92,9715,9.5
