"Search Characteristic","Values Selected"
Year 2010
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"UNKNOWN","15-17 years",".",".","."
,"20-24 years",10,".","."
,"25-29 years",6,".","."
,"30-34 years",5,".","."
,"35-39 years",".",".","."
"Adair","15-17 years",17,1069,15.9
,"18-19 years",42,671,62.6
,"20-24 years",154,1274,120.9
,"25-29 years",103,1375,74.9
,"30-34 years",35,1343,26.1
,"35-39 years",21,1437,14.6
,"40-44 years",".",1491,"."
"Alfalfa","15-17 years",".",195,"."
,"18-19 years",".",83,"."
,"20-24 years",19,216,88.0
,"25-29 years",13,268,48.5
,"30-34 years",6,267,22.5
,"35-39 years",5,412,12.1
,"45-54 years",".",1032,"."
"Atoka","15-17 years",8,587,13.6
,"18-19 years",25,356,70.2
,"20-24 years",59,828,71.3
,"25-29 years",47,917,51.3
,"30-34 years",21,852,24.6
,"35-39 years",10,881,11.4
,"40-44 years",".",855,"."
"Beaver","15-17 years",".",258,"."
,"18-19 years",7,135,51.9
,"20-24 years",21,251,83.7
,"25-29 years",23,309,74.4
,"30-34 years",9,317,28.4
,"35-39 years",5,316,15.8
"Beckham","10-14 years",".",1337,"."
,"15-17 years",10,790,12.7
,"18-19 years",48,553,86.8
,"20-24 years",108,1580,68.4
,"25-29 years",104,1838,56.6
,"30-34 years",44,1599,27.5
,"35-39 years",11,1410,7.8
,"40-44 years",".",1370,"."
"Blaine","15-17 years",5,408,12.3
,"18-19 years",20,250,80.0
,"20-24 years",61,504,121.0
,"25-29 years",43,510,84.3
,"30-34 years",16,523,30.6
,"35-39 years",10,522,19.2
"Bryan","10-14 years",".",2722,"."
,"15-17 years",27,1661,16.3
,"18-19 years",57,1420,40.1
,"20-24 years",238,3515,67.7
,"25-29 years",169,2836,59.6
,"30-34 years",90,2549,35.3
,"35-39 years",25,2475,10.1
,"40-44 years",".",2480,"."
"Caddo","10-14 years",".",2036,"."
,"15-17 years",24,1306,18.4
,"18-19 years",55,763,72.1
,"20-24 years",167,1748,95.5
,"25-29 years",127,2026,62.7
,"30-34 years",58,1877,30.9
,"35-39 years",22,1766,12.5
,"40-44 years",5,1837,2.7
"Canadian","15-17 years",38,5107,7.4
,"18-19 years",80,2733,29.3
,"20-24 years",381,6308,60.4
,"25-29 years",526,8176,64.3
,"30-34 years",404,8435,47.9
,"35-39 years",132,8443,15.6
,"40-44 years",15,7945,1.9
,"45-54 years",".",17005,"."
"Carter","10-14 years",".",3465,"."
,"15-17 years",36,2036,17.7
,"18-19 years",70,1137,61.6
,"20-24 years",193,2531,76.3
,"25-29 years",194,3024,64.2
,"30-34 years",87,2990,29.1
,"35-39 years",42,3035,13.8
,"40-44 years",9,2854,3.2
"Cherokee","10-14 years",".",3188,"."
,"15-17 years",32,2028,15.8
,"18-19 years",68,2052,33.1
,"20-24 years",222,4532,49.0
,"25-29 years",171,3150,54.3
,"30-34 years",80,2737,29.2
,"35-39 years",38,2635,14.4
,"40-44 years",9,2623,3.4
,"45-54 years",".",6150,"."
"Choctaw","10-14 years",".",1024,"."
,"15-17 years",15,563,26.6
,"18-19 years",26,359,72.4
,"20-24 years",99,821,120.6
,"25-29 years",45,816,55.1
,"30-34 years",30,813,36.9
,"35-39 years",12,812,14.8
,"40-44 years",".",887,"."
"Cimarron","15-17 years",".",100,"."
,"18-19 years",".",44,"."
,"20-24 years",14,99,141.4
,"25-29 years",14,115,121.7
,"30-34 years",".",97,"."
,"35-39 years",".",138,"."
,"40-44 years",".",122,"."
"Cleveland","10-14 years",".",16152,"."
,"15-17 years",51,9392,5.4
,"18-19 years",177,10068,17.6
,"20-24 years",725,27205,26.6
,"25-29 years",1026,21441,47.9
,"30-34 years",699,18428,37.9
,"35-39 years",249,16557,15.0
,"40-44 years",38,15646,2.4
,"45-54 years",".",34147,"."
"Coal","15-17 years",".",268,"."
,"18-19 years",10,153,65.4
,"20-24 years",25,271,92.3
,"25-29 years",13,309,42.1
