year,county,age,births,population,birth_rate
2010,UNKNOWN,15-17 years,0.0,0.0,0.0
2010,UNKNOWN,20-24 years,10.0,0.0,0.0
2010,UNKNOWN,25-29 years,6.0,0.0,0.0
2010,UNKNOWN,30-34 years,5.0,0.0,0.0
2010,UNKNOWN,35-39 years,0.0,0.0,0.0
2010,Adair,15-17 years,17.0,1069.0,15.9
2010,Adair,18-19 years,42.0,671.0,62.6
2010,Adair,20-24 years,154.0,1274.0,120.9
2010,Adair,25-29 years,103.0,1375.0,74.9
2010,Adair,30-34 years,35.0,1343.0,26.1
2010,Adair,35-39 years,21.0,1437.0,14.6
2010,Adair,40-44 years,0.0,1491.0,0.0
2010,Alfalfa,15-17 years,0.0,195.0,0.0
2010,Alfalfa,18-19 years,0.0,83.0,0.0
2010,Alfalfa,20-24 years,19.0,216.0,88.0
2010,Alfalfa,25-29 years,13.0,268.0,48.5
2010,Alfalfa,30-34 years,6.0,267.0,22.5
2010,Alfalfa,35-39 years,5.0,412.0,12.1
2010,Alfalfa,45-54 years,0.0,1032.0,0.0
2010,Atoka,15-17 years,8.0,587.0,13.6
2010,Atoka,18-19 years,25.0,356.0,70.2
2010,Atoka,20-24 years,59.0,828.0,71.3
2010,Atoka,25-29 years,47.0,917.0,51.3
2010,Atoka,30-34 years,21.0,852.0,24.6
2010,Atoka,35-39 years,10.0,881.0,11.4
2010,Atoka,40-44 years,0.0,855.0,0.0
2010,Beaver,15-17 years,0.0,258.0,0.0
2010,Beaver,18-19 years,7.0,135.0,51.9
2010,Beaver,20-24 years,21.0,251.0,83.7
2010,Beaver,25-29 years,23.0,309.0,74.4
2010,Beaver,30-34 years,9.0,317.0,28.4
2010,Beaver,35-39 years,5.0,316.0,15.8
2010,Beckham,10-14 years,0.0,1337.0,0.0
2010,Beckham,15-17 years,10.0,790.0,12.7
2010,Beckham,18-19 years,48.0,553.0,86.8
2010,Beckham,20-24 years,108.0,1580.0,68.4
2010,Beckham,25-29 years,104.0,1838.0,56.6
2010,Beckham,30-34 years,44.0,1599.0,27.5
2010,Beckham,35-39 years,11.0,1410.0,7.8
2010,Beckham,40-44 years,0.0,1370.0,0.0
2010,Blaine,15-17 years,5.0,408.0,12.3
2010,Blaine,18-19 years,20.0,250.0,80.0
2010,Blaine,20-24 years,61.0,504.0,121.0
2010,Blaine,25-29 years,43.0,510.0,84.3
2010,Blaine,30-34 years,16.0,523.0,30.6
2010,Blaine,35-39 years,10.0,522.0,19.2
2010,Bryan,10-14 years,0.0,2722.0,0.0
2010,Bryan,15-17 years,27.0,1661.0,16.3
